Orden,Sitios,Gobierno_local,codigo,Fecha,Mes,Año,Año-mes,Campaña-Año,Campaña,Tem_agua,Tem_aire,OD,pH,Turbiedad_NTU,Olores,Color,Espumas,Mat_susp,colif_totales_ufc_100ml,colif_fecales_ufc_100ml,escher_coli_ufc_100ml,enteroc_ufc_100ml,Nitrato_mg_l,NH4_mg_l,P_de_ortof_mg_l,P_total_l_mg_l,DQO_mg_l,DBO_mg_l,Fosf_ortofos_mg_l,solidos_totales_mg_l,Hidr_Deriv_Petr_ug_l,Cr_total_mg_l,Cd_total_mg_l,Microcistina_ug_l,Clorofila_a_ug_l,ICA,Calidad_de_agua
25,COSTA DE VILLA DOMINICO,Avellaneda,AV055,25/08/2021,8,2021,08-2021,03-2021,invierno,15,13,4,7,10,ausencia,ausencia,ausencia,ausencia,3000,0,1500,300,2,3,0,1,32,10,1,,100,0.005,0.001,0.2,0,46,Muy deteriorada
4,RIO CARAPACHAY Y ARROYO GALLO,Tigre,TI003,25/08/2021,8,2021,08-2021,03-2021,invierno,14,11,3,7,20,ausencia,ausencia,ausencia,ausencia,10000,0,10000,1700,2,3,0,0,30,5,0,,100,0.005,0.001,0.2,0,40,Extremadamente deteriorada
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,25/08/2021,8,2021,08-2021,03-2021,invierno,14,8,5,7,16,presencia,presencia,presencia,ausencia,14000,0,2000,690,2,3,0,0,30,3,0,,100,0.005,0.001,0.2,0,35,Extremadamente deteriorada
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,25/08/2021,8,2021,08-2021,03-2021,invierno,15,14,2,7,21,presencia,ausencia,ausencia,ausencia,30000,0,10000,240,2,3,0,1,30,5,1,,100,0.005,0.001,0.2,0,34,Extremadamente deteriorada
19,MIRADOR TOMA DE AGUA,CABA,CA044,27/06/2018,6,2018,06-2018,02-2018,otoño,11,0,8,8,62,,,,,4000,0,4000,470,2,3,0,0,33,5,0,,,0.03,0.002,0.5,10,46,Extremadamente deteriorada
24,ARROYO SARANDI,Avellaneda,AV052,31/10/2022,10,2022,10-2022,04-2022,primavera,19,14,7,8,18,ausencia,ausencia,ausencia,ausencia,1000,0,800,20,3,3,0,1,30,,1,,100,0.005,0.001,0.15,8.2,43,Extremadamente deteriorada
3,CANAL ALIVIADOR 100 MTS R LUJAN,Tigre,TI002,28/05/2019,5,2019,05-2019,02-2019,otoño,16,0,0,7,45,ausencia,presencia,ausencia,presencia,3900,0,3800,950,3,3,1,1,22,8,0,,140,0.006,0.002,0.5,10,38,Extremadamente deteriorada
7,RIO LUJAN y CANAL SAN FERNANDO,Tigre,TI007,29/10/2019,10,2019,10-2019,04-2019,primavera,21,4,0,7,35,ausencia,ausencia,ausencia,ausencia,12200,0,5300,3300,3,3,0,1,47,24,0,,93,0.006,0.002,0.5,10,37,Extremadamente deteriorada
22,ESCOLLERA DE PROPANEROS,Avellaneda,AV054,31/10/2022,10,2022,10-2022,04-2022,primavera,19,12,4,7,14,ausencia,ausencia,ausencia,ausencia,700,0,500,40,3,3,0,1,30,,1,,100,7,0.001,0.15,6.4,37,Extremadamente deteriorada
24,ARROYO SARANDI,Avellaneda,AV052,19/05/2021,5,2021,05-2021,02-2021,otoño,16,15,5,8,30,ausencia,ausencia,ausencia,ausencia,9000,0,6400,600,3,3,0,0,7,7,0,,75,100,0.005,10,0,41,Extremadamente deteriorada
